Experimental Design,Length (m),Width (m),Height (m),Electrode - Wire Gap (m),Bias Voltage (V),Applied Stress (Pa),Applied Load (N),Nominal Frequency (Hz),Bao Frequency (Hz),Axial Loaded Frequency (Hz),Electrical Softened Frequency (Hz),Eta Value,R Value (Ohm),L Value (H),C Value (F)
11,1e-05,2.5e-06,5e-07,5e-07,11.0,50000000.0,6.2500000000000001e-05,43909711.818352915,44664921.687005714,44656153.890509531,44652894.99155774,7.1668088852363308e-09,10187096.565078033,363.09555615446027,3.4988078147073258e-20
12,1e-05,2.5e-06,5e-07,5e-07,21.0,50000000.0,6.2500000000000001e-05,43909711.818352915,44664921.687005714,44656153.890509531,44644272.100256361,1.3685340763734292e-08,2793231.7109440826,99.577529901138263,1.2762842838251671e-19
13,1e-05,2.5e-06,5e-07,2.5e-06,1.0,50000000.0,6.2500000000000001e-05,43909711.818352915,44664921.687005714,44656153.890509531,44656153.675074719,2.6058782302765219e-11,770593829541.47449,27464035.075661693,4.6250165467855249e-25
14,1e-05,2.5e-06,5e-07,2.5e-06,11.0,50000000.0,6.2500000000000001e-05,43909711.818352915,44664921.687005714,44656153.890509531,44656127.822869271,2.8664680963076291e-10,6368531280.9065142,226975.17295096867,5.5962844783883405e-23
15,1e-05,2.5e-06,5e-07,2.5e-06,21.0,50000000.0,6.2500000000000001e-05,43909711.818352915,44664921.687005714,44656153.890509531,44656058.883379355,5.4723585846217749e-10,1747365456.2202151,62276.398029602977,2.0396516167454888e-22
16,1e-05,2.5e-06,5e-07,4.5e-06,1.0,50000000.0,6.2500000000000001e-05,43909711.818352915,44664921.687005714,44656153.890509531,44656153.853569403,8.0428340044848326e-12,8089385896943.7637,288306457.44775826,4.4057846215260779e-26
17,1e-05,2.5e-06,5e-07,4.5e-06,11.0,50000000.0,6.2500000000000001e-05,43909711.818352915,44664921.687005714,44656153.890509531,44656149.420753606,8.8471184861342543e-11,66854405923.547737,2382697.4130599257,5.3310017534122829e-24
18,1e-05,2.5e-06,5e-07,4.5e-06,21.0,50000000.0,6.2500000000000001e-05,43909711.818352915,44664921.687005714,44656153.890509531,44656137.599903382,1.6889958977826246e-10,18343255562.131161,653755.55343984638,1.9429541737391172e-23
19,1e-05,4.5e-06,5e-07,5e-07,1.0,50000000.0,0.0001125,43909711.818352915,44664921.687005714,44656153.890509531,44656126.961128123,1.1726460672577266e-09,684970874.22636187,24412.439664102123,5.2031575043943414e-22
20,1e-05,4.5e-06,5e-07,5e-07,11.0,50000000.0,0.0001125,43909711.818352915,44664921.687005714,44656153.890509531,44652894.99155774,1.2900255993425397e-08,5659498.091710018,201.71975341914452,6.2978540664731871e-20
21,1e-05,4.5e-06,5e-07,5e-07,21.0,50000000.0,0.0001125,43909711.818352915,44664921.687005714,44656153.890509531,44644272.100256361,2.4633613374721728e-08,1551795.3949689346,55.320849945076802,2.2973117108853008e-19
22,1e-05,4.5e-06,5e-07,2.5e-06,1.0,50000000.0,0.0001125,43909711.818352915,44664921.687005714,44656153.890509531,44656153.675074719,4.6905808144977406e-11,428107683078.59674,15257797.264256487,8.3250297842139482e-25
23,1e-05,4.5e-06,5e-07,2.5e-06,11.0,50000000.0,0.0001125,43909711.818352915,44664921.687005714,44656153.890509531,44656127.822869271,5.1596425733537331e-10,3538072933.8369517,126097.31830609366,1.0073312061099016e-22
24,1e-05,4.5e-06,5e-07,2.5e-06,21.0,50000000.0,0.0001125,43909711.818352915,44664921.687005714,44656153.890509531,44656058.883379355,9.8502454523191958e-10,970758586.78900826,34597.998905334978,3.6713729101418799e-22
25,1e-05,4.5e-06,5e-07,4.5e-06,1.0,50000000.0,0.0001125,43909711.818352915,44664921.687005714,44656153.890509531,44656153.853569403,1.44771012080727e-11,4494103276079.8682,160170254.13764346,7.9304123187469409e-26
26,1e-05,4.5e-06,5e-07,4.5e-06,11.0,50000000.0,0.0001125,43909711.818352915,44664921.687005714,44656153.890509531,44656149.420753613,1.592481327504166e-10,37141336624.193176,1323720.7850332914,9.5958031561421119e-24
27,1e-05,4.5e-06,5e-07,4.5e-06,21.0,50000000.0,0.0001125,43909711.818352915,44664921.687005714,44656153.890509531,44656137.599903382,3.0401926160087248e-10,10190697534.517307,363197.52968880342,3.4973175127304122e-23
28,3.5e-05,5e-07,5e-07,5e-07,1.0,50000000.0,1.2499999999999999e-05,3584466.2708859518,4278902.3798810644,4486998.0148102921,4486723.930032921,4.3965408610375003e-10,186205108.99020818,66051.453102306885,1.9050184707026767e-20
29,3.5e-05,5e-07,5e-07,5e-07,11.0,50000000.0,1.2499999999999999e-05,3584466.2708859518,4278902.3798810644,4486998.0148102921,4453202.5876125293,4.906498700088196e-09,1483930.4576801709,530.34835693616367,2.4084305646795079e-18
30,3.5e-05,5e-07,5e-07,5e-07,21.0,50000000.0,1.2499999999999999e-05,3584466.2708859518,4278902.3798810644,4486998.0148102921,4357236.7692225398,9.7387169138299101e-09,368546.37881422241,134.61737576718286,9.9109851050205426e-18
31,3.5e-05,5e-07,5e-07,2.5e-06,1.0,50000000.0,1.2499999999999999e-05,3584466.2708859518,4278902.3798810644,4486998.0148102921,4486995.8224704973,1.7584072061602726e-11,116412932040.59863,41291978.658186004,3.0469353447721309e-23
32,3.5e-05,5e-07,5e-07,2.5e-06,11.0,50000000.0,1.2499999999999999e-05,3584466.2708859518,4278902.3798810644,4486998.0148102921,4486732.7020669421,1.9344705572065376e-10,961812509.34476781,341177.47892429645,3.6880730391432088e-21
33,3.5e-05,5e-07,5e-07,2.5e-06,21.0,50000000.0,1.2499999999999999e-05,3584466.2708859518,4278902.3798810644,4486998.0148102921,4486030.6631716685,3.6942138904617275e-10,263695449.97741833,93553.605594562861,1.3454118784684228e-20
34,3.5e-05,5e-07,5e-07,4.5e-06,1.0,50000000.0,1.2499999999999999e-05,3584466.2708859518,4278902.3798810644,4486998.0148102921,4486997.6388950776,5.4271784224668391e-12,1222058832267.4941,433467364.05320656,2.9024996527730236e-24
35,3.5e-05,5e-07,5e-07,4.5e-06,11.0,50000000.0,1.2499999999999999e-05,3584466.2708859518,4278902.3798810644,4486998.0148102921,4486952.5279043065,5.9700140772965064e-11,10099159625.183952,3582233.5213625398,3.5122338185605647e-22
36,3.5e-05,5e-07,5e-07,4.5e-06,21.0,50000000.0,1.2499999999999999e-05,3584466.2708859518,4278902.3798810644,4486998.0148102921,4486832.2206311906,1.1397899406517508e-10,2770605313.488698,982776.95557861694,1.2802819979423519e-21
37,3.5e-05,2.5e-06,5e-07,5e-07,1.0,50000000.0,6.2500000000000001e-05,3584466.2708859518,4278902.3798810644,4486998.0148102921,4486723.930032921,2.1982704305187499e-09,37241021.798041634,13210.290620461377,9.5250923535133825e-20
38,3.5e-05,2.5e-06,5e-07,5e-07,11.0,50000000.0,6.2500000000000001e-05,3584466.2708859518,4278902.3798810644,4486998.0148102921,4453202.5876125293,2.4532493500440974e-08,296786.09153603425,106.06967138723277,1.2042152823397535e-17
39,3.5e-05,2.5e-06,5e-07,5e-07,21.0,50000000.0,6.2500000000000001e-05,3584466.2708859518,4278902.3798810644,4486998.0148102921,4357236.7692225398,4.8693584569149547e-08,73709.275762844467,26.923475153436573,4.9554925525102722e-17
40,3.5e-05,2.5e-06,5e-07,2.5e-06,1.0,50000000.0,6.2500000000000001e-05,3584466.2708859518,4278902.3798810644,4486998.0148102921,4486995.8224704973,8.7920360308013619e-11,23282586408.119724,8258395.7316372003,1.5234676723860655e-22
41,3.5e-05,2.5e-06,5e-07,2.5e-06,11.0,50000000.0,6.2500000000000001e-05,3584466.2708859518,4278902.3798810644,4486998.0148102921,4486732.7020669412,9.6723527860326865e-10,192362501.86895359,68235.495784859304,1.8440365195716042e-20
42,3.5e-05,2.5e-06,5e-07,2.5e-06,21.0,50000000.0,6.2500000000000001e-05,3584466.2708859518,4278902.3798810644,4486998.0148102921,4486030.6631716685,1.8471069452308634e-09,52739089.995483689,18710.721118912577,6.7270593923421123e-20
43,3.5e-05,2.5e-06,5e-07,4.5e-06,1.0,50000000.0,6.2500000000000001e-05,3584466.2708859518,4278902.3798810644,4486998.0148102921,4486997.6388950776,2.7135892112334197e-11,244411766453.49872,86693472.810641304,1.4512498263865122e-23
44,3.5e-05,2.5e-06,5e-07,4.5e-06,11.0,50000000.0,6.2500000000000001e-05,3584466.2708859518,4278902.3798810644,4486998.0148102921,4486952.5279043065,2.9850070386482524e-10,2019831925.0367916,716446.70427250827,1.7561169092802815e-21
45,3.5e-05,2.5e-06,5e-07,4.5e-06,21.0,50000000.0,6.2500000000000001e-05,3584466.2708859518,4278902.3798810644,4486998.0148102921,4486832.2206311906,5.6989497032587535e-10,554121062.6977396,196555.39111572338,6.4014099897117595e-21
46,3.5e-05,4.5e-06,5e-07,5e-07,1.0,50000000.0,0.0001125,3584466.2708859518,4278902.3798810644,4486998.0148102921,4486723.930032921,3.9568867749337505e-09,20689456.554467566,7339.0503447007613,1.7145166236324096e-19
47,3.5e-05,4.5e-06,5e-07,5e-07,11.0,50000000.0,0.0001125,3584466.2708859518,4278902.3798810644,4486998.0148102921,4453202.5876125293,4.4158488300793762e-08,164881.16196446336,58.927595215129287,2.1675875082115578e-17
48,3.5e-05,4.5e-06,5e-07,5e-07,21.0,50000000.0,0.0001125,3584466.2708859518,4278902.3798810644,4486998.0148102921,4357236.7692225398,8.7648452224469187e-08,40949.597646024704,14.957486196353651,8.9198865945184917e-17
49,3.5e-05,4.5e-06,5e-07,2.5e-06,1.0,50000000.0,0.0001125,3584466.2708859518,4278902.3798810644,4486998.0148102921,4486995.8224704973,1.5825664855442453e-10,12934770226.733173,4587997.6286873324,2.7422418102949188e-22
50,3.5e-05,4.5e-06,5e-07,2.5e-06,11.0,50000000.0,0.0001125,3584466.2708859518,4278902.3798810644,4486998.0148102921,4486732.7020669412,1.7410235014858841e-09,106868056.59386303,37908.608769366256,3.3192657352288898e-20
51,3.5e-05,4.5e-06,5e-07,2.5e-06,21.0,50000000.0,0.0001125,3584466.2708859518,4278902.3798810644,4486998.0148102921,4486030.6631716676,3.324792501415555e-09,29299494.441935357,10394.845066062535,1.2108706906215811e-19
52,3.5e-05,4.5e-06,5e-07,4.5e-06,1.0,50000000.0,0.0001125,3584466.2708859518,4278902.3798810644,4486998.0148102921,4486997.6388950767,4.884460580220156e-11,135784314696.38815,48163040.45035626,2.6122496874957231e-23
53,3.5e-05,4.5e-06,5e-07,4.5e-06,11.0,50000000.0,0.0001125,3584466.2708859518,4278902.3798810644,4486998.0148102921,4486952.5279043056,5.3730126695668555e-10,1122128847.2426612,398025.94681805989,3.1610104367045089e-21
54,3.5e-05,4.5e-06,5e-07,4.5e-06,21.0,50000000.0,0.0001125,3584466.2708859518,4278902.3798810644,4486998.0148102921,4486832.2206311906,1.0258109465865758e-09,307845034.83207744,109197.43950873516,1.1522537981481173e-20
55,6e-05,5e-07,5e-07,5e-07,1.0,50000000.0,1.2499999999999999e-05,1219714.21717647,1829159.9249117861,2319142.1687578619,2318687.6630159626,6.4519793979695418e-10,89462755.993734434,61407.321331527273,7.6724772157212211e-20
56,6e-05,5e-07,5e-07,5e-07,11.0,50000000.0,1.2499999999999999e-05,1219714.21717647,1829159.9249117861,2319142.1687578619,2255142.8640106628,8.1583893063521889e-09,544190.77395522664,384.0583807003062,1.2968653811869894e-17
57,6e-05,5e-07,5e-07,5e-07,21.0,50000000.0,1.2499999999999999e-05,1219714.21717647,1829159.9249117861,2319142.1687578619,1916100.8863939762,2.4290786174924176e-08,52158.03185851391,43.323442158881214,1.5925041199929746e-16
58,6e-05,5e-07,5e-07,2.5e-06,1.0,50000000.0,1.2499999999999999e-05,1219714.21717647,1829159.9249117861,2319142.1687578619,2319138.5369602698,2.5779365101630715e-11,56049045828.220886,38464639.162254363,1.2244053411462882e-22
59,6e-05,5e-07,5e-07,2.5e-06,11.0,50000000.0,1.2499999999999999e-05,1219714.21717647,1829159.9249117861,2319142.1687578619,2318702.2238000925,2.8387695349444607e-10,462136927.31422293,317209.23718620528,1.485266824717397e-20
60,6e-05,5e-07,5e-07,2.5e-06,21.0,50000000.0,1.2499999999999999e-05,1219714.21717647,1829159.9249117861,2319142.1687578619,2317533.8788366793,5.4349899170197941e-10,126012773.89761601,86538.350276864716,5.4497862436829296e-20
61,6e-05,5e-07,5e-07,4.5e-06,1.0,50000000.0,1.2499999999999999e-05,1219714.21717647,1829159.9249117861,2319142.1687578619,2319141.5460265111,7.9565353358778193e-12,588389928018.74744,403792367.35297412,1.1663466481605021e-23
62,6e-05,5e-07,5e-07,4.5e-06,11.0,50000000.0,1.2499999999999999e-05,1219714.21717647,1829159.9249117861,2319142.1687578619,2319066.8036522819,8.7537962371129615e-11,4860784398.2828922,3335901.592279796,1.4118888684544475e-21
63,6e-05,5e-07,5e-07,4.5e-06,21.0,50000000.0,1.2499999999999999e-05,1219714.21717647,1829159.9249117861,2319142.1687578619,2318867.3488632957,1.6719980087615843e-10,1332264204.2419424,914396.56396660814,5.1517391712875301e-21
64,6e-05,5e-07,2.5e-06,5e-07,1.0,50000000.0,6.2500000000000001e-05,6098571.0858823489,6249055.3325187555,6249110.6151419682,6249072.1166031295,7.814954961806342e-10,719194080.34949934,183168.46212405778,3.5412655205312114e-21
65,6e-05,5e-07,2.5e-06,5e-07,11.0,50000000.0,6.2500000000000001e-05,6098571.0858823489,6249055.3325187555,6249110.6151419682,6244445.7306974288,8.604417562350199e-09,5928358.6027610675,1510.9869101951585,4.2992407950409713e-19
66,6e-05,5e-07,2.5e-06,5e-07,21.0,50000000.0,6.2500000000000001e-05,6098571.0858823489,6249055.3325187555,6249110.6151419682,6232044.7323849835,1.6467261365388571e-08,1615367.4637542448,412.53509531199597,1.5809503770232288e-18
67,6e-05,5e-07,2.5e-06,2.5e-06,1.0,50000000.0,6.2500000000000001e-05,6098571.0858823489,6249055.3325187555,6249110.6151419682,6249110.3071572389,3.1259580491320475e-11,449505930960.3786,114482041.99489161,5.665868810924857e-24
68,6e-05,5e-07,2.5e-06,2.5e-06,11.0,50000000.0,6.2500000000000001e-05,6098571.0858823489,6249055.3325187555,6249110.6151419682,6249073.3485703496,3.4385793338634417e-10,3714848023.8494124,946118.55686740344,6.8558839577376493e-22
69,6e-05,5e-07,2.5e-06,2.5e-06,21.0,50000000.0,6.2500000000000001e-05,6098571.0858823489,6249055.3325187555,6249110.6151419682,6248974.7882725475,6.564690264113577e-10,1019210335.3010032,259582.36096251622,2.4988923077236944e-21
70,6e-05,5e-07,2.5e-06,4.5e-06,1.0,50000000.0,6.2500000000000001e-05,6098571.0858823489,6249055.3325187555,6249110.6151419682,6249110.5623325193,9.6480181765497141e-12,4718734136372.5176,1201786807.0169539,5.3972982095461875e-25
71,6e-05,5e-07,2.5e-06,4.5e-06,11.0,50000000.0,6.2500000000000001e-05,6098571.0858823489,6249055.3325187555,6249110.6151419682,6249104.2251863228,1.0612833478619381e-10,38997664133.541313,9932097.1330183838,6.5307606746876637e-23
72,6e-05,5e-07,2.5e-06,4.5e-06,21.0,50000000.0,6.2500000000000001e-05,6098571.0858823489,6249055.3325187555,6249110.6151419682,6249087.3260102579,2.0260932561857722e-10,10699937922.327646,2725114.7604015321,2.3802483893874121e-22
73,6e-05,2.5e-06,5e-07,5e-07,1.0,50000000.0,6.2500000000000001e-05,1219714.21717647,1829159.9249117861,2319142.1687578619,2318687.6630159626,3.2259896989847709e-09,17892551.198746882,12281.464266305455,3.8362386078606108e-19
74,6e-05,2.5e-06,5e-07,5e-07,11.0,50000000.0,6.2500000000000001e-05,1219714.21717647,1829159.9249117861,2319142.1687578619,2255142.8640106628,4.0791946531760933e-08,108838.15479104537,76.811676140061252,6.484326905934945e-17
75,6e-05,2.5e-06,5e-07,5e-07,21.0,50000000.0,6.2500000000000001e-05,1219714.21717647,1829159.9249117861,2319142.1687578619,1916100.8863939766,1.2145393087462087e-07,10431.606371702783,8.6646884317762414,7.96252059996487e-16
76,6e-05,2.5e-06,5e-07,2.5e-06,1.0,50000000.0,6.2500000000000001e-05,1219714.21717647,1829159.9249117861,2319142.1687578619,2319138.5369602698,1.2889682550815355e-10,11209809165.644176,7692927.8324508732,6.1220267057314406e-22
77,6e-05,2.5e-06,5e-07,2.5e-06,11.0,50000000.0,6.2500000000000001e-05,1219714.21717647,1829159.9249117861,2319142.1687578619,2318702.2238000925,1.4193847674722302e-09,92427385.46284458,63441.847437241056,7.4263341235869848e-20
78,6e-05,2.5e-06,5e-07,2.5e-06,21.0,50000000.0,6.2500000000000001e-05,1219714.21717647,1829159.9249117861,2319142.1687578619,2317533.8788366788,2.7174949585098962e-09,25202554.779523212,17307.670055372953,2.7248931218414639e-19
79,6e-05,2.5e-06,5e-07,4.5e-06,1.0,50000000.0,6.2500000000000001e-05,1219714.21717647,1829159.9249117861,2319142.1687578619,2319141.5460265111,3.978267667938909e-11,117677985603.74948,80758473.470594823,5.8317332408025097e-23
80,6e-05,2.5e-06,5e-07,4.5e-06,11.0,50000000.0,6.2500000000000001e-05,1219714.21717647,1829159.9249117861,2319142.1687578619,2319066.8036522819,4.3768981185564797e-10,972156879.65657878,667180.31845595944,7.0594443422722346e-21
81,6e-05,2.5e-06,5e-07,4.5e-06,21.0,50000000.0,6.2500000000000001e-05,1219714.21717647,1829159.9249117861,2319142.1687578619,2318867.3488632957,8.3599900438079205e-10,266452840.84838843,182879.31279332162,2.5758695856437651e-20
82,6e-05,2.5e-06,2.5e-06,5e-07,1.0,50000000.0,0.00031249999999999995,6098571.0858823489,6249055.3325187555,6249110.6151419682,6249072.1166031295,3.9074774809031706e-09,143838816.06989989,36633.692424811554,1.7706327602656056e-20
83,6e-05,2.5e-06,2.5e-06,5e-07,11.0,50000000.0,0.00031249999999999995,6098571.0858823489,6249055.3325187555,6249110.6151419682,6244445.7306974288,4.3022087811750985e-08,1185671.720552214,302.19738203903182,2.1496203975204847e-18
84,6e-05,2.5e-06,2.5e-06,5e-07,21.0,50000000.0,0.00031249999999999995,6098571.0858823489,6249055.3325187555,6249110.6151419682,6232044.7323849835,8.2336306826942876e-08,323073.49275084876,82.507019062399138,7.9047518851161496e-18
85,6e-05,2.5e-06,2.5e-06,2.5e-06,1.0,50000000.0,0.00031249999999999995,6098571.0858823489,6249055.3325187555,6249110.6151419682,6249110.3071572389,1.5629790245660236e-10,89901186192.075729,22896408.398978323,2.8329344054624286e-23
86,6e-05,2.5e-06,2.5e-06,2.5e-06,11.0,50000000.0,0.00031249999999999995,6098571.0858823489,6249055.3325187555,6249110.6151419682,6249073.3485703496,1.7192896669317207e-09,742969604.76988244,189223.71137348068,3.4279419788688252e-21
87,6e-05,2.5e-06,2.5e-06,2.5e-06,21.0,50000000.0,0.00031249999999999995,6098571.0858823489,6249055.3325187555,6249110.6151419682,6248974.7882725475,3.2823451320567891e-09,203842067.06020057,51916.472192503214,1.2494461538618477e-20
88,6e-05,2.5e-06,2.5e-06,4.5e-06,1.0,50000000.0,0.00031249999999999995,6098571.0858823489,6249055.3325187555,6249110.6151419682,6249110.5623325193,4.8240090882748564e-11,943746827274.50366,240357361.40339082,2.6986491047730934e-24
89,6e-05,2.5e-06,2.5e-06,4.5e-06,11.0,50000000.0,0.00031249999999999995,6098571.0858823489,6249055.3325187555,6249110.6151419682,6249104.2251863228,5.30641673930969e-10,7799532826.7082634,1986419.426603677,3.2653803373438316e-22
90,6e-05,2.5e-06,2.5e-06,4.5e-06,21.0,50000000.0,0.00031249999999999995,6098571.0858823489,6249055.3325187555,6249110.6151419682,6249087.3260102579,1.0130466280928861e-09,2139987584.465529,545022.95208030636,1.1901241946937063e-21
91,6e-05,4.5e-06,5e-07,5e-07,1.0,50000000.0,0.0001125,1219714.21717647,1829159.9249117861,2319142.1687578619,2318687.6630159621,5.8067814581725884e-09,9940306.2215260435,6823.0357035030274,6.9052294941491022e-19
92,6e-05,4.5e-06,5e-07,5e-07,11.0,50000000.0,0.0001125,1219714.21717647,1829159.9249117861,2319142.1687578619,2255142.8640106623,7.3425503757169695e-08,60465.641550580738,42.673153411145123,1.1671788430682907e-16
93,6e-05,4.5e-06,5e-07,5e-07,21.0,50000000.0,0.0001125,1219714.21717647,1829159.9249117861,2319142.1687578619,1916100.8863939757,2.1861707557431773e-07,5795.3368731682012,4.8137157954312375,1.4332537079936805e-15
94,6e-05,4.5e-06,5e-07,2.5e-06,1.0,50000000.0,0.0001125,1219714.21717647,1829159.9249117861,2319142.1687578619,2319138.5369602698,2.3201428591467644e-10,6227671758.6912069,4273848.7958060391,1.1019648070316596e-21
95,6e-05,4.5e-06,5e-07,2.5e-06,11.0,50000000.0,0.0001125,1219714.21717647,1829159.9249117861,2319142.1687578619,2318702.2238000925,2.5548925814500145e-09,51348547.479358092,35245.47079846725,1.3367401422456575e-19
96,6e-05,4.5e-06,5e-07,2.5e-06,21.0,50000000.0,0.0001125,1219714.21717647,1829159.9249117861,2319142.1687578619,2317533.8788366788,4.8914909253178147e-09,14001419.321957331,9615.3722529849674,4.9048076193146386e-19
97,6e-05,4.5e-06,5e-07,4.5e-06,1.0,50000000.0,0.0001125,1219714.21717647,1829159.9249117861,2319142.1687578619,2319141.5460265111,7.1608818022900367e-11,65376658668.749687,44865818.594774894,1.0497119833444521e-22
98,6e-05,4.5e-06,5e-07,4.5e-06,11.0,50000000.0,0.0001125,1219714.21717647,1829159.9249117861,2319142.1687578619,2319066.8036522819,7.8784166134016648e-10,540087155.36476576,370655.73247553286,1.2706999816090029e-20
99,6e-05,4.5e-06,5e-07,4.5e-06,21.0,50000000.0,0.0001125,1219714.21717647,1829159.9249117861,2319142.1687578619,2318867.3488632957,1.5047982078854258e-09,148029356.02688244,101599.618218512,4.6365652541587783e-20
100,6e-05,4.5e-06,2.5e-06,5e-07,1.0,50000000.0,0.00056249999999999996,6098571.0858823489,6249055.3325187555,6249110.6151419682,6249072.1166031295,7.0334594656257074e-09,79910453.372166604,20352.051347117533,3.1871389684780902e-20
101,6e-05,4.5e-06,2.5e-06,5e-07,11.0,50000000.0,0.00056249999999999996,6098571.0858823489,6249055.3325187555,6249110.6151419682,6244445.7306974288,7.7439758061151788e-08,658706.51141789637,167.88743446612875,3.869316715536874e-18
102,6e-05,4.5e-06,2.5e-06,5e-07,21.0,50000000.0,0.00056249999999999996,6098571.0858823489,6249055.3325187555,6249110.6151419682,6232044.7323849835,1.4820535228849712e-07,179485.27375047168,45.837232812444007,1.4228553393209057e-17
103,6e-05,4.5e-06,2.5e-06,2.5e-06,1.0,50000000.0,0.00056249999999999996,6098571.0858823489,6249055.3325187555,6249110.6151419682,6249110.3071572389,2.8133622442188426e-10,49945103440.042076,12720226.88832129,5.0992819298323708e-23
104,6e-05,4.5e-06,2.5e-06,2.5e-06,11.0,50000000.0,0.00056249999999999996,6098571.0858823489,6249055.3325187555,6249110.6151419682,6249073.3485703496,3.0947214004770978e-09,412760891.53882349,105124.28409637813,6.1702955619638872e-21
105,6e-05,4.5e-06,2.5e-06,2.5e-06,21.0,50000000.0,0.00056249999999999996,6098571.0858823489,6249055.3325187555,6249110.6151419682,6248974.7882725475,5.9082212377022199e-09,113245592.81122257,28842.484551390684,2.2490030769513254e-20
106,6e-05,4.5e-06,2.5e-06,4.5e-06,1.0,50000000.0,0.00056249999999999996,6098571.0858823489,6249055.3325187555,6249110.6151419682,6249110.5623325193,8.6832163588947427e-11,524303792930.27979,133531867.44632822,4.857568388591568e-24
107,6e-05,4.5e-06,2.5e-06,4.5e-06,11.0,50000000.0,0.00056249999999999996,6098571.0858823489,6249055.3325187555,6249110.6151419682,6249104.2251863228,9.5515501307574428e-10,4333073792.6157007,1103566.3481131536,5.877684607218898e-22
108,6e-05,4.5e-06,2.5e-06,4.5e-06,21.0,50000000.0,0.00056249999999999996,6098571.0858823489,6249055.3325187555,6249110.6151419682,6249087.3260102579,1.8234839305671952e-09,1188881991.3697381,302790.52893350349,2.1422235504486717e-21
